month,mean_temp
1978-09,26.9576
1978-10,27.0576
1978-11,26.4457
1978-12,26.3406
1979-01,26.644
1979-02,27.2559
1979-03,27.4271
1979-04,27.2305
1979-05,27.6762
1979-06,26.9966
1979-07,26.9322
1979-08,27.4152
1979-09,26.9661
1979-10,27.1406
1979-11,26.305
1979-12,26.6474
1980-01,26.644
1980-02,26.8813
1980-03,27.5084
1980-04,27.3237
1980-05,27.961
1980-06,27.5271
1980-07,27.2016
1980-08,26.6694
1980-09,27.1694
1980-10,27.2542
1980-11,26.7457
1980-12,26.3355
1981-01,26.0949
1981-02,26.6067
1981-03,27.4135
1981-04,27.4305
1981-05,27.4525
1981-06,27.9559
1981-07,27.422
1981-08,27.7389
1981-09,27.0677
1981-10,27.7288
1981-11,27.5305
1981-12,26.6254
1982-01,26.444
1982-02,27.4474
1982-03,27.4288
1982-04,27.2576
1982-05,28.0491
1982-06,28.1542
1982-07,27.9627
1982-08,27.7016
1982-09,27.9694
1982-10,27.5779
1982-11,27.7661
1982-12,26.8644
1983-01,26.9745
1983-02,28.4406
1983-03,29.0661
1983-04,28.6406
1983-05,28.3728
1983-06,28.1593
1983-07,27.444
1983-08,27.7305
1983-09,27.1711
1983-10,27.8305
1983-11,27.122
1983-12,26.0254
1984-01,26.0254
1984-02,26.1661
1984-03,26.7254
1984-04,27.5135
1984-05,27.3728
1984-06,27.4033
1984-07,27.022
1984-08,27.3627
1984-09,26.8762
1984-10,27.2372
1984-11,26.7576
1984-12,26.3237
1985-01,27.0915
1985-02,27.3542
1985-03,27.2983
1985-04,27.7101
1985-05,28.0508
1985-06,28.0406
1985-07,26.8237
1985-08,27.6915
1985-09,27.0593
1985-10,26.9474
1985-11,27.0864
1985-12,26.7305
1986-01,26.2254
1986-02,27.2033
1986-03,26.6559
1986-04,27.6169
1986-05,28.2033
1986-06,27.7169
1986-07,27.661
1986-08,28.2186
1986-09,26.8694
1986-10,27.1406
1986-11,27.0915
1986-12,26.9033
1987-01,26.0593
1987-02,26.9881
1987-03,27.722
1987-04,28.1067
1987-05,27.6796
1987-06,28.5135
1987-07,27.9338
1987-08,27.4576
1987-09,27.7406
1987-10,27.9949
1987-11,27.7881
1987-12,26.9661
1988-01,27.2847
1988-02,27.461
1988-03,27.5372
1988-04,28.0118
1988-05,28.4457
1988-06,27.8525
1988-07,27.1338
1988-08,27.0694
1988-09,27.2694
1988-10,27.6372
1988-11,26.8406
1988-12,26.7423
1989-01,26.9627
1989-02,26.922
1989-03,26.5694
1989-04,27.2237
1989-05,27.4101
1989-06,27.3711
1989-07,27.522
1989-08,27.1949
1989-09,27.0627
1989-10,27.3254
1989-11,27.2152
1989-12,26.8915
1990-01,26.722
1990-02,26.6915
1990-03,28.3372
1990-04,28.6271
1990-05,28.5864
1990-06,28.1254
1990-07,27.322
1990-08,27.9762
1990-09,27.3796
1990-10,27.7237
1990-11,27.6694
1990-12,26.9305
1991-01,27.205
1991-02,27.4355
1991-03,27.9728
1991-04,27.9305
1991-05,27.7932
1991-06,28.4593
1991-07,28.2949
1991-08,28.1254
1991-09,27.6576
1991-10,27.7135
1991-11,26.8084
1991-12,26.2355
1992-01,27.0898
1992-02,27.7728
1992-03,28.3779
1992-04,28.6372
1992-05,28.1745
1992-06,27.8762
1992-07,27.1338
1992-08,27.8322
1992-09,27.4169
1992-10,27.5576
1992-11,26.6084
1992-12,26.1474
1993-01,26.744
1993-02,27.0728
1993-03,26.9389
1993-04,27.8033
1993-05,28.244
1993-06,28.2067
1993-07,27.7338
1993-08,28.5338
1993-09,27.9627
1993-10,27.6779
1993-11,27.3152
1993-12,27.0983
1994-01,27.3542
1994-02,27.3694
1994-03,27.0271
1994-04,28.0762
1994-05,28.1186
1994-06,27.9016
1994-07,28.1677
1994-08,28.0728
1994-09,28.3016
1994-10,27.9949
1994-11,27.2101
1994-12,27.422
1995-01,27.2661
1995-02,26.8593
1995-03,27.7881
1995-04,28.0847
1995-05,28.5457
1995-06,28.6627
1995-07,27.7949
1995-08,27.4525
1995-09,28.3457
1995-10,27.9847
1995-11,27.5169
1995-12,26.8118
1996-01,26.7152
1996-02,26.8576
1996-03,27.8728
1996-04,28.0186
1996-05,28.5542
1996-06,28.1661
1996-07,28.0932
1996-08,27.4644
1996-09,27.8542
1996-10,27.7101
1996-11,27.7644
1996-12,27.1254
1997-01,27.4966
1997-02,27.6457
1997-03,28.2406
1997-04,28.2423
1997-05,29.2169
1997-06,29.0576
1997-07,28.5355
1997-08,28.7576
1997-09,27.8033
1997-10,28.2932
1997-11,28.1898
1997-12,27.8254
1998-01,27.6745
1998-02,28.6966
1998-03,28.722
1998-04,28.3135
1998-05,29.4423
1998-06,28.4389
1998-07,27.9474
1998-08,27.5593
1998-09,28.044
1998-10,28.2355
1998-11,28.3033
1998-12,27.1932
1999-01,27.1254
1999-02,27.5406
1999-03,27.3423
1999-04,28.4813
1999-05,28.0644
1999-06,28.0542
1999-07,27.6338
1999-08,27.5813
1999-09,28.0423
1999-10,27.4491
1999-11,27.7847
1999-12,27.3406
2000-01,26.8254
2000-02,26.9762
2000-03,27.4152
2000-04,27.705
2000-05,28.6169
2000-06,27.4949
2000-07,27.9406
2000-08,27.5694
2000-09,28.0949
2000-10,27.9745
2000-11,27.7559
2000-12,27.5372
2001-01,26.9915
2001-02,27.2864
2001-03,27.6
2001-04,27.9711
2001-05,28.5406
2001-06,28.061
2001-07,28.222
2001-08,28.0508
2001-09,28.0796
2001-10,27.8288
2001-11,27.6559
2001-12,27.2966
2002-01,27.4728
2002-02,27.6474
2002-03,28.3491
2002-04,28.7474
2002-05,28.9372
2002-06,28.5406
2002-07,28.2372
2002-08,28.4728
2002-09,28.1423
2002-10,28.2067
2002-11,27.8389
2002-12,27.7762
2003-01,27.2288
2003-02,27.4745
2003-03,28.2677
2003-04,28.1101
2003-05,29.1813
2003-06,28.7966
2003-07,27.9186
2003-08,28.2288
2003-09,27.7288
2003-10,27.7813
2003-11,27.5932
2003-12,27.1525
2004-01,27.4152
2004-02,27.9372
2004-03,27.9254
2004-04,29.0186
2004-05,28.905
2004-06,28.8169
2004-07,27.2406
2004-08,28.2271
2004-09,27.8644
2004-10,27.9762
2004-11,27.7661
2004-12,27.3355
2005-01,27.1338
2005-02,28.7576
2005-03,28.6423
2005-04,28.7915
2005-05,28.5389
2005-06,28.5745
2005-07,27.8067
2005-08,28.2169
2005-09,28.3033
2005-10,27.8101
2005-11,27.7559
2005-12,27.7779
2006-01,27.0288
2006-02,27.8779
2006-03,28.4508
2006-04,27.8118
2006-05,28.1322
2006-06,27.683
2006-07,28.2118
2006-08,28.305
2006-09,28.1169
2006-10,28.4491
2006-11,27.7745
2006-12,27.2288
2007-01,27.0237
2007-02,27.5694
2007-03,27.7186
2007-04,28.2966
2007-05,28.3762
2007-06,28.2576
2007-07,27.5576
2007-08,27.7694
2007-09,27.9559
2007-10,28.0237
2007-11,27.4338
2007-12,27.1
2008-01,27.3271
2008-02,27.0745
2008-03,26.7372
2008-04,28.2491
2008-05,28.7762
2008-06,28.0423
2008-07,27.6355
2008-08,27.5813
2008-09,27.861
2008-10,27.8457
2008-11,27.7932
2008-12,27.4694
2009-01,27.2677
2009-02,27.6508
2009-03,27.4152
2009-04,28.6389
2009-05,28.744
2009-06,28.9016
2009-07,28.1084
2009-08,28.3305
2009-09,28.4118
2009-10,28.4847
2009-11,27.6847
2009-12,27.6355
2010-01,27.944
2010-02,28.2559
2010-03,28.7406
2010-04,28.7694
2010-05,29.2152
2010-06,28.1881
2010-07,27.5525
2010-08,27.9542
2010-09,28.1271
2010-10,28.4898
2010-11,27.8949
2010-12,27.3525
2011-01,26
2011-02,27.2474
2011-03,27.2932
2011-04,27.9322
2011-05,28.3694
2011-06,28.2084
2011-07,28.0864
2011-08,27.9796
2011-09,27.8694
2011-10,27.6423
2011-11,27.3186
2011-12,26.6711
2012-01,27.0169
2012-02,27.1677
2012-03,27.4355
2012-04,27.844
2012-05,28.3932
2012-06,28.5762
2012-07,27.6864
2012-08,27.8271
2012-09,28.1203
2012-10,28.0152
2012-11,27.3186
2012-12,27.0881
2013-01,27.1796
2013-02,26.722
2013-03,28.383
2013-04,28.5779
2013-05,28.4406
2013-06,29.0559
2013-07,28.022
2013-08,28.1644
2013-09,27.7711
2013-10,28.0152
2013-11,27.5796
2013-12,26.9474
2014-01,26.444
2014-02,27.722
2014-03,28.0389
2014-04,28.2423
2014-05,28.605
2014-06,28.883
2014-07,28.3254
2014-08,27.8694
2014-09,28.0152
2014-10,28.2
2014-11,27.4779
2014-12,27.0288
2015-01,26.7322
2015-02,27.2474
2015-03,28.0322
2015-04,28.4355
2015-05,28.7271
2015-06,28.7406
2015-07,28.6915
2015-08,28.522
2015-09,28.2711
2015-10,28.2644
2015-11,27.883
2015-12,27.6915
